id,name,description,thumbnail,price,quantity,sold,available,rating,rating_count,view,slug,category_id,store_id
0,"Avery Printable Tent Cards, Laser &amp; Inkjet Printers, 100 Cards, 2.5 x 8.5 (5305)","Leave a lasting impression on guests at your events, meetings, parties and more with these 2.5 x 8.5 folding tent cards",https://images-na.ssl-images-amazon.com/images/I/31SjFTtzjsL.jpg ,15,10,3,True,5,32,0,avery-printable-tent-cards-inkjet-printers,19,2
1,"Mead Loose Leaf Paper, Filler Paper, Wide Ruled, 200 Sheets, 10-1/2&quot; x 8&quot;, 3 Hole Punched, 1 Pack (15200)",Mead filler paper is standard notebook paper that is great for all kinds of notetaking needs, https://images-na.ssl-images-amazon.com/images/I/31U86mt4%2BiL.jpg ,4,10,3,True,5,25,0,200-sheets-of-paper,15,3
2,"Mead Loose Leaf Paper, Filler Paper, College Ruled, 200 Sheets, 10-1/2&quot; x 8&quot;, 3 Hole Punched, 1 Pack (15326)",Mead filler paper is standard notebook paper that is great for all kinds of notetaking needs., https://images-na.ssl-images-amazon.com/images/I/310OWmw49AL.jpg ,4,10,3,True,5,81,0,leaf-filler-paper-college-ruled,9,3
3,"Swingline Paper Trimmer, Guillotine Paper Cutter, 15&quot; Cut Length, 10 Sheets Capacity, ClassicCut Lite (9315)","The Swingline ClassicCut Lite Guillotine Trimmer is simple, steady and precise, with a sharp guillotine blade that cuts through papers with ease and an alignment grid that ensures accuracy. ", https://images-na.ssl-images-amazon.com/images/I/51Cx5dpvA-L.jpg ,27,10,3,True,5,5,0,swingline-paper-trimmer-guillotine-paper-cutter,11,0
4,"Avery 8-Tab Binder Dividers, Easy Print &amp; Apply Clear Label Strip, Index Maker, White Tabs, 1 Set (11417)","Don't work harder, work smarter: easily and quickly organize your presentations, projects and reference materials with these easy-to-customize 8-tab white dividers with white tabs", https://images-na.ssl-images-amazon.com/images/I/41pL5MyavxL.jpg ,6,10,3,True,5,42,0,avery-8-tab-binder-dividers,20,2
5,"Wilson Jones 55567 View-Tab Transparent Index Dividers, 8-Tab, Rectangle, Letter, Assorted (Box of 5 Sets)",View-Tab Transparent dividers have transparent polypropylene tabs that let you print all tab titles on one standard sheet of paper; no more tiny inserts., https://images-na.ssl-images-amazon.com/images/I/512r7OlVjEL.jpg ,20,10,3,True,5,96,0,transparent-index-dividers,15,4
6,"Mead Composition Book/Notebook, Wide Ruled Paper, 100 Sheets (09910)",Mead Composition Book / Notebook, https://images-na.ssl-images-amazon.com/images/I/41%2BAdwuv0lL.jpg ,15,10,3,True,5,6,0,mead-composition-book,2,8
7,"Five Star Spiral Notebook, 1 Subject, College Ruled Paper, 100 Sheets, 11&quot; x 8-1/2&quot;, Color Selected For You (06044)",LASTS ALL YEAR. GUARANTEED! High-quality paper resists ink bleed 1 subject; 100 college ruled sheets., https://images-na.ssl-images-amazon.com/images/I/511KblFCLOL.jpg ,10,10,3,True,5,56,0,five-star-spiral-notebook-subject,12,7
8,"Scotch Desk Tape Dispenser, 1in. Core, Black",Scotch classic desktop tape dispenser C-38 is made from 100% recycled plastic, https://images-na.ssl-images-amazon.com/images/I/41qwc6VoA7L.jpg ,6,10,3,True,5,62,0,scotch-desk-tape-dispenser,10,8
9,"Swingline Stapler, Eco Version Desktop Stapler, 15 Sheet Capacity, Black (7054501)",Standard Full Strip Desk Stapler, https://images-na.ssl-images-amazon.com/images/I/515PxZjnsLL.jpg ,8,10,3,True,5,77,0,swingline-stapler-eco-version-desktop-stapler,16,8
10,"Avery 5881 Print-to-the-Edge Microperf Business Cards, Color Laser, 2 x 3 1/2, White (Pack of 160)",Make the right impression every time with customizable Laser Business Cards, https://images-na.ssl-images-amazon.com/images/I/51fCKAmDKZL.jpg ,16,10,3,True,5,67,0,avery-5881-print-to-the-edge-microperf-business-cards,8,0
11,"Avery Printable Business Cards, Inkjet Printers, 200 Cards, 2 x 3.5, Clean Edge, Heavyweight, Ivory (8876)","Make the best impression on important clients, partners and prospective customers with this pack of 200 premium customizable business cards", https://images-na.ssl-images-amazon.com/images/I/31SzTr6zAqL.jpg ,10,10,3,True,5,27,0,avery-printable-business-cards-inkjet-printers,2,4
12,"Wilson Jones Basic View Binder, Round Ring, 1 Inch, White",Customizable covers and spine allow you to create the perfect presentation, https://images-na.ssl-images-amazon.com/images/I/213nhtnFvXL.jpg ,7,10,3,True,5,3,0,wilson-jones-basic-view-binder-and-round-ring,15,7
13,"Wilson Jones 3 Inch 3 Ring Binder, Basic Round Ring View Binder, White (W362-49W)",Customizable covers and spine allow you to create the perfect presentation, https://images-na.ssl-images-amazon.com/images/I/31dBCDuSOoL.jpg ,6,10,3,True,5,23,0,wilson-jones-binder,19,9
14,"Avery Brochures for Color Laser Printers 8.5 x 11, White, Glossy, Pack of 50 (5884)",Create colorful Communications with your printer,https://m.media-amazon.com/images/I/81CVA3whKLL._SY355_.jpg,13,10,3,True,5,81,0,avery-brochures-for-color-laser-printers ,14,8
15,"Scotch Magic Tape, 3/4 x 300-inches-Transparent-3 ct (3105)","Scotch(R) Magic(TM) Tape is the original matte finish, invisible tape", https://images-na.ssl-images-amazon.com/images/I/51go2sFOuYL.jpg ,7,10,3,True,5,66,0,transparent-adhesive-tape,13,6
16,"Avery Printable  Large Tent Cards, Laser &amp; Inkjet Printers, 50 Cards, 3.5 x 11 (5309), White","Make a professional impression on guests at your events, meetings, parties and more with this pack of 50 folding tent cards", https://images-na.ssl-images-amazon.com/images/I/31vfj7U7AoL.jpg ,14,10,3,True,5,47,0,avery-printable-large-tent-cards-inkjet-printers,19,5
17,Scotch Thermal Laminator 2 Roller System (TL901C),Use the Scotch 3M TL901 Thermal Laminator with Scotch Thermal Laminating Pouches up to 9 wide, https://images-na.ssl-images-amazon.com/images/I/41DENlVR68L.jpg ,5,10,3,True,5,17,0,scotch-thermal-laminator-2-roller-system ,7,1
18,"Mead Lined Index Cards, Note Cards, Ruled, 100 Count,  3&quot; x 5&quot;, White (63350)",, https://images-na.ssl-images-amazon.com/images/I/41xOch4Q8aL.jpg ,3,10,3,True,5,20,0,mead-lined-index-cards-note-cards-ruled,6,1
19,"Avery Place Cards, Laser &amp; Inkjet Printers, 160 Printable Cards, 2 x 3.5 (5302), White","Make an unforgettable impression on guests at your parties, events and meetings with these custom-printed tent cards", https://images-na.ssl-images-amazon.com/images/I/3106KnfaHNL.jpg ,12,10,3,True,5,88,0,avery-place-cards-inkjet-printers,18,1
20,"Swingline Rubber Finger Tips, Size 11 1/2, Medium, 12/Box (54035)",Swingline Finger Tips are constructed of high grade rubber and feature extra thick material at tip to provide maximum durability, https://images-na.ssl-images-amazon.com/images/I/41MR--aEkHL.jpg ,3,10,3,True,5,26,0,swingline-rubber-finger-tips,14,4
21,"Quartet Dry Erase Markers, Whiteboard Markers, Fine Tip, EnduraGlide, BOLD COLOR, Assorted Colors, 4 Pack (5001-10M)","Quartet EnduraGlide Dry-Erase Markers deliver strong bold color every time, to ensure that your message is distinct and legible.", https://images-na.ssl-images-amazon.com/images/I/519fxl1iLfL.jpg ,7,10,3,True,5,43,0,quartet-dry-erase-markers-whiteboard-markers-fine-tip-enduraglide,10,3
22,"Smead Organizer File Folder, 1/3-Cut Tab, Letter Size, Assorted Colors, 3 per Pack (85785)",A whole new way to keep multiple projects and loose documents separate and organized,https://m.media-amazon.com/images/I/71X4QmtxdzL._SL1300_.jpg,12,10,3,True,5,71,0,smead-organizer-file-folder,8,7
23,"Wilson Jones Frosted Front Report Covers with Pocket, 3-Hole Punched, Black, 5 Covers per Pack (W71120)","The quality, style, and innovation of Wilson Jones presentation supplies prove why the brand has been trusted and used for over 100 years", https://images-na.ssl-images-amazon.com/images/I/411MOQVDcqL.jpg ,7,10,3,True,5,48,0,wilson-jones-frosted-front-report-covers-with-pocket,17,8
24,"Avery Folded Two-Side Printable Clean Edge Business Cards for Inkjet Printers, White, Matte, Pack of 120 (8820)","Avery Folded Two-Side Printable Clean Edge Business Cards for Inkjet Printers, White, Matte, Pack of 120", https://images-na.ssl-images-amazon.com/images/I/51xsH2Ye41L.jpg ,20,10,3,True,5,88,0,business-cards-for-inkjet-printers,5,8
25,"Five Star Filler Paper, Graph Ruled Paper, 100 Sheets/Pack, 11&quot; x 8-1/2&quot;, Reinforced, Loose Leaf, White (17016)",Choose reinforced filler paper for better performance, https://images-na.ssl-images-amazon.com/images/I/41c55J6yVjL.jpg ,6,10,3,True,5,22,0,five-star-filler-paper-graph-ruled-paper,17,6
26,"Swingline GBC Retractable Badge Reel, Translucent Primary Color Assortment, 5 Pack (37472)","Carrying your ID badge around doesnt have to be a bother, especially if youve got a fun, bright badge reel to clip it onto", https://images-na.ssl-images-amazon.com/images/I/51LazA8qnzL.jpg ,11,10,3,True,5,6,0,swingline-gbc-retractable-badge-reel,7,3
27,"Wilson Jones Recycled Bliss Dividers, 5-Tab, Assorted Designs (W31504)",Recycle dividers add the finishing eco touch to your binder, https://images-na.ssl-images-amazon.com/images/I/41QbCpalc3L.jpg ,7,10,3,True,5,85,0,wilson-jones-recycled-bliss-dividers,15,7
28,"Mead Spiral Notebook, 3 Subject, Wide Ruled Paper, 120 Sheets, 10-1/2&quot; x 7-1/2&quot;, Blue (72223)","A great choice for any notetaking need, this classic 3 subject spiral notebook includes 120 sheets.", https://images-na.ssl-images-amazon.com/images/I/31nFrmYOIoL.jpg ,6,10,3,True,5,1,0,mead-spiral-notebook,2,8
29,"Swingline Staples, S.F. 4, Premium, 1/4&quot; Length, 210/Strip, 5000/Box, 1 Box (35450)",Swingline S.F. 4 Premium Staples provide strength and durability for dependable stapling, https://images-na.ssl-images-amazon.com/images/I/51F7FJhtQsL.jpg ,6,10,3,True,5,43,0,swingline-staples,1,5
30,"Brother Genuine High Yield Toner Cartridge, TN450, Replacement Black Toner, Page Yield Up To 2,600 Pages",from Brother products. The Brother TN-450 replacement laser black toner cartridge is for use with 16 Brother products, https://images-na.ssl-images-amazon.com/images/I/51J5U1MyjNL.jpg ,54,10,3,True,5,95,0,brother genuine high yield toner cartridge,18,3
